央视频道,#genre#
CCTV1,http://171.38.147.213:8088/tsfile/live/0001_1.m3u8
CCTV1,http://171.38.144.205:8088/tsfile/live/0001_1.m3u8
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://bl.dchwtq.asia:10000/rtp/239.254.96.96:8550
CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550
CCTV1,http://18.162.122.10:5000/itv/wasusyt/6000000001000029752
CCTV1,http://117.161.133.51:81/gitv_live/G_CCTV-1/G_CCTV-1.m3u8
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV1,http://18.162.122.10:5000/itv/ystenlive/1000000005000265001
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV2,http://jxcbn.ws-cdn.gitv.tv/hls/CCTV2HD/index.m3u8?gMac=unknown&livodToken=3372ee
CCTV2,http://221.210.64.165:2233/hls/9/index.m3u8
CCTV2,http://61.138.54.155:2233/hls/9/index.m3u8
CCTV2,http://59.44.102.18:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://117.161.133.51:81/gitv_live/G_CCTV-2/G_CCTV-2.m3u8
CCTV2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://116.128.224.11:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://bl.dchwtq.asia:10000/rtp/239.69.1.102:10250
CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV2,http://18.162.122.10:5000/itv/wasusyt/6000000001000014161
CCTV3,https://live.v1.mk/api/ghyx.php?id=CCTV3HD_6000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV3,http://59.44.102.18:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV3,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://116.128.224.11:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV3,http://18.162.122.10:5000/itv/wasusyt/6000000001000022313
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV3,http://18.162.122.10:5000/itv/ystenlive/1000000005000265003
CCTV4,http://59.44.102.18:8888/newlive/live/hls/5/live.m3u8
CCTV4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV4,http://221.210.64.165:2233/hls/11/index.m3u8
CCTV4,http://112.123.206.32:808/hls/4/index.m3u8
CCTV4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV4,http://116.128.224.11:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://bl.dchwtq.asia:10000/rtp/239.69.1.138:10466
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV5,http://58.248.112.230:8114/GD.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBSH%2Fdcga0ub9HyjSFJq4wMsikb7ADOVlWhn49oiB6V%2FG&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1714141993662&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=515e9d32fa20cc6a&FvSeid=88fe5578aeee6593&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=18135&Fsv_chan_hls_se_idx=58&Fsv_TBt=8468304&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-5-CQ&Fsv_CMSID=GD_CUCC
CCTV5,http://180.143.86.242:8181/tsfile/live/1016_1.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5,http://bl.dchwtq.asia:10000/rtp/239.69.1.123:10376
CCTV5,http://1732e975z9.zicp.fun:8082/hls/5/index.m3u8
CCTV5,http://61.138.54.155:2233/hls/12/index.m3u8
CCTV5,http://59.44.102.18:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
